,n_features,n_samples,class_ratio,distributions,balancer,classifier,accuracy,precision,recall,F1 score,ROC AUC Score,cluster distance
131,6,10000,0.1,multivariate_normal 6 feat.,RandomOverSampler,Decision Tree,0.9825,0.9261083743842364,0.903846153846154,0.9148418491484184,0.947737809065934,5.0
132,6,10000,0.1,multivariate_normal 6 feat.,RandomOverSampler,Random Forest,0.9895,0.9605911330049262,0.9375,0.9489051094890512,0.9665178571428572,5.0
133,6,10000,0.1,multivariate_normal 6 feat.,RandomOverSampler,XGboost,0.992,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.978537087912088,5.0
134,6,10000,0.1,multivariate_normal 6 feat.,RandomOverSampler,Lightgbm,0.9915,0.9569377990430622,0.9615384615384616,0.9592326139088728,0.9782580700549453,5.0
135,6,10000,0.1,multivariate_normal 6 feat.,SMOTE,Logistic Regression,0.994,0.9537037037037036,0.9903846153846154,0.9716981132075472,0.9924021291208792,5.0
136,6,10000,0.1,multivariate_normal 6 feat.,SMOTE,Decision Tree,0.984,0.9,0.9519230769230768,0.925233644859813,0.9698231456043956,5.0
137,6,10000,0.1,multivariate_normal 6 feat.,SMOTE,Random Forest,0.9925,0.957345971563981,0.971153846153846,0.964200477326969,0.9830657623626374,5.0
138,6,10000,0.1,multivariate_normal 6 feat.,SMOTE,XGboost,0.991,0.9481132075471698,0.966346153846154,0.9571428571428572,0.9801038804945056,5.0
139,6,10000,0.1,multivariate_normal 6 feat.,SMOTE,Lightgbm,0.9905,0.9478672985781992,0.9615384615384616,0.954653937947494,0.9777000343406592,5.0
140,6,10000,0.1,multivariate_normal 6 feat.,BorderlineSMOTE,Logistic Regression,0.9895,0.9082969432314412,1.0,0.9519450800915332,0.994140625,5.0
141,6,10000,0.1,multivariate_normal 6 feat.,BorderlineSMOTE,Decision Tree,0.983,0.9306930693069309,0.903846153846154,0.9170731707317074,0.9480168269230768,5.0
142,6,10000,0.1,multivariate_normal 6 feat.,BorderlineSMOTE,Random Forest,0.9905,0.9655172413793104,0.9423076923076924,0.953771289537713,0.969200721153846,5.0
143,6,10000,0.1,multivariate_normal 6 feat.,BorderlineSMOTE,XGboost,0.9905,0.943661971830986,0.966346153846154,0.9548693586698338,0.9798248626373626,5.0
144,6,10000,0.1,multivariate_normal 6 feat.,BorderlineSMOTE,Lightgbm,0.989,0.9558823529411764,0.9375,0.9466019417475728,0.9662388392857144,5.0
145,6,10000,0.1,multivariate_normal 6 feat.,SVMSMOTE,Logistic Regression,0.9915,0.9244444444444444,1.0,0.9607390300230948,0.9952566964285716,5.0
146,6,10000,0.1,multivariate_normal 6 feat.,SVMSMOTE,Decision Tree,0.985,0.908256880733945,0.9519230769230768,0.9295774647887324,0.9703811813186812,5.0
147,6,10000,0.1,multivariate_normal 6 feat.,SVMSMOTE,Random Forest,0.9905,0.9315068493150684,0.9807692307692308,0.955503512880562,0.9861993475274726,5.0
148,6,10000,0.1,multivariate_normal 6 feat.,SVMSMOTE,XGboost,0.992,0.9485981308411215,0.9759615384615384,0.962085308056872,0.9849115728021978,5.0
149,6,10000,0.1,multivariate_normal 6 feat.,SVMSMOTE,Lightgbm,0.991,0.9439252336448598,0.971153846153846,0.957345971563981,0.9822287087912088,5.0
150,6,10000,0.01,multivariate_normal 6 feat.,Unbalanced,Logistic Regression,0.998,0.9473684210526316,0.8571428571428571,0.9,0.9283187757164512,5.0
151,6,10000,0.01,multivariate_normal 6 feat.,Unbalanced,Decision Tree,0.9945,0.7777777777777778,0.6666666666666666,0.717948717948718,0.8323227219134242,5.0
152,6,10000,0.01,multivariate_normal 6 feat.,Unbalanced,Random Forest,0.997,1.0,0.7142857142857143,0.8333333333333333,0.8571428571428572,5.0
153,6,10000,0.01,multivariate_normal 6 feat.,Unbalanced,XGboost,0.9975,0.9,0.8571428571428571,0.8780487804878048,0.9280661228614742,5.0
154,6,10000,0.01,multivariate_normal 6 feat.,Unbalanced,Lightgbm,0.9975,0.9,0.8571428571428571,0.8780487804878048,0.9280661228614742,5.0
155,6,10000,0.01,multivariate_normal 6 feat.,ADASYN,Logistic Regression,0.995,0.6774193548387096,1.0,0.8076923076923077,0.9974734714502276,5.0
156,6,10000,0.01,multivariate_normal 6 feat.,ADASYN,Decision Tree,0.9955,0.75,0.8571428571428571,0.7999999999999999,0.9270555114415652,5.0
157,6,10000,0.01,multivariate_normal 6 feat.,ADASYN,Random Forest,0.9975,0.9,0.8571428571428571,0.8780487804878048,0.9280661228614742,5.0
158,6,10000,0.01,multivariate_normal 6 feat.,ADASYN,XGboost,0.9975,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9516229938160206,5.0
159,6,10000,0.01,multivariate_normal 6 feat.,ADASYN,Lightgbm,0.998,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.951875646670998,5.0
160,6,10000,0.01,multivariate_normal 6 feat.,RandomOverSampler,Logistic Regression,0.997,0.7777777777777778,1.0,0.8750000000000001,0.9984840828701363,5.0
161,6,10000,0.01,multivariate_normal 6 feat.,RandomOverSampler,Decision Tree,0.997,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9278134700064968,5.0
162,6,10000,0.01,multivariate_normal 6 feat.,RandomOverSampler,Random Forest,0.998,0.9473684210526316,0.8571428571428571,0.9,0.9283187757164512,5.0
163,6,10000,0.01,multivariate_normal 6 feat.,RandomOverSampler,XGboost,0.9975,0.9,0.8571428571428571,0.8780487804878048,0.9280661228614742,5.0
164,6,10000,0.01,multivariate_normal 6 feat.,RandomOverSampler,Lightgbm,0.9985,0.95,0.9047619047619048,0.9268292682926828,0.952128299525975,5.0
165,6,10000,0.01,multivariate_normal 6 feat.,SMOTE,Logistic Regression,0.997,0.7777777777777778,1.0,0.8750000000000001,0.9984840828701363,5.0
166,6,10000,0.01,multivariate_normal 6 feat.,SMOTE,Decision Tree,0.9965,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.951117688106066,5.0
